Date,"Cushing, OK Crude Oil Future Contract ($/Bar.)",U.S. Field Production of Crude Oil (1k Bar.),Product Supplied of Crude Oil and Petroleum Products (1k Bar.),Gross Inputs to Refineries (1k Bar./Day),Operable Crude Oil Distillation Capacity (1k Bar./Calendar Day),Operating Crude Oil Distillation Capacity (1k Bar./Day),Idle Crude Oil Distillation Capacity (1k Bar./Day),Percent Utilization of Refinery Operable Capacity,"Cushing, OK WTI Spot Price FOB ($/Bar.)"
8/1/1999,21.3,179187,622884,15559,16287,16134,153,95.5,21.3
9/1/1999,23.8,174113,584477,15353,16317,16164,153,94.1,23.8
10/1/1999,22.7,184361,615915,14860,16317,16118,199,91.1,22.7
11/1/1999,24.8,178811,572616,15026,16327,16124,204,92,25
12/1/1999,26.1,184716,635453,14706,16276,16124,153,90.4,26.1
1/1/2000,27,179316,589799,14156,16512,16315,197,85.7,27.3
2/1/2000,29.3,169703,569417,14260,16505,16291,215,86.4,29.4
3/1/2000,29.9,183464,595752,14806,16505,16134,372,89.7,29.8
4/1/2000,25.5,175625,564493,15281,16505,15909,596,92.6,25.7
5/1/2000,28.8,181242,607755,15625,16506,16122,384,94.7,28.8
6/1/2000,31.5,174686,601623,15867,16496,16125,372,96.2,31.8
7/1/2000,29.7,177920,610585,15975,16496,16280,217,96.8,29.7
8/1/2000,31.1,179451,635381,15856,16548,16343,205,95.8,31.3
9/1/2000,33.9,172731,596968,15582,16549,16350,199,94.2,33.9
10/1/2000,32.9,180080,613744,15267,16559,16360,199,92.2,33.1
11/1/2000,34.3,174980,579827,15325,16559,16387,172,92.6,34.4
12/1/2000,28.4,181508,645249,15546,16559,16387,172,93.9,28.4
1/1/2001,29.3,179767,622856,14940,16568,16320,248,90.2,29.6
2/1/2001,29.6,161843,551303,15000,16568,16268,301,90.5,29.6
3/1/2001,27.3,182290,616161,14857,16620,16354,267,89.4,27.2
4/1/2001,27.6,175879,591867,15768,16608,16428,180,94.9,27.5
5/1/2001,28.7,180712,604530,16018,16618,16444,174,96.4,28.6
6/1/2001,27.6,172974,586829,15897,16627,16407,220,95.6,27.6
7/1/2001,26.5,178208,617494,15638,16662,16442,220,93.9,26.4
8/1/2001,27.3,177488,624740,15543,16662,16407,255,93.3,27.4
9/1/2001,25.8,171270,570485,15230,16510,16197,313,92.2,26.2
10/1/2001,22.2,178129,614536,15196,16510,16155,355,92,22.2
11/1/2001,19.7,176441,581879,15231,16512,16257,255,92.2,19.6
12/1/2001,19.4,182511,589098,14899,16512,16157,355,90.2,19.4
1/1/2002,19.7,182076,603059,14693,16755,16223,532,87.7,19.7
2/1/2002,20.8,164666,544423,14510,16755,16291,464,86.6,20.7
3/1/2002,24.4,182460,609965,14724,16755,16414,342,87.9,24.5
4/1/2002,26.3,175333,586562,15586,16757,16415,342,93,26.2
5/1/2002,27,183057,611573,15329,16757,16414,342,91.5,27
6/1/2002,25.5,176532,596246,15610,16764,16643,121,93.1,25.5
7/1/2002,26.9,178275,622351,15666,16764,16643,121,93.5,27
8/1/2002,28.2,179670,626859,15572,16764,16643,121,92.9,28.4
9/1/2002,29.7,162336,583828,15149,16764,16528,236,90.4,29.7
10/1/2002,28.9,166105,610030,14614,16700,16463,237,87.5,28.8
11/1/2002,26.2,168706,599736,15463,16700,16416,283,92.6,26.4
12/1/2002,29.4,177372,618244,15218,16700,16386,313,91.1,29.5
1/1/2003,32.7,178412,620512,14611,16757,16484,273,87.2,32.9
2/1/2003,35.7,161920,570500,14640,16747,16587,159,87.4,35.8
3/1/2003,33.2,179907,610933,15159,16747,16710,36,90.5,33.5
4/1/2003,28.1,171774,594912,15754,16747,16711,35,94.1,28.2
5/1/2003,28.1,175568,599655,16038,16747,16711,35,95.8,28.1
6/1/2003,30.5,169772,593798,15851,16747,16711,35,94.7,30.7
7/1/2003,30.7,170452,622911,15745,16747,16711,35,94,30.8
8/1/2003,31.6,172787,638153,15911,16747,16710,36,95,31.6
9/1/2003,28.3,168270,597976,15590,16747,16697,49,93.1,28.3
10/1/2003,30.3,174020,625647,15480,16747,16697,50,92.4,30.3
11/1/2003,31.1,166397,596180,15679,16747,16669,78,93.6,31.1
12/1/2003,32.1,172715,641053,15577,16747,16604,143,93,32.1
1/1/2004,34.2,173132,634855,15092,16947,16812,135,89.1,34.3
2/1/2004,34.5,161583,605301,15056,16948,16891,57,88.8,34.7
3/1/2004,36.7,174115,634033,15027,16978,16921,57,88.5,36.7
4/1/2004,36.6,166810,616345,15702,16978,16921,57,92.5,36.8
5/1/2004,40.3,172235,629710,16234,16978,16904,73,95.6,40.3
6/1/2004,38,162208,623395,16552,16978,16921,57,97.5,38
7/1/2004,40.8,170011,647293,16436,16984,16910,73,96.8,40.8
8/1/2004,44.9,165072,651864,16494,16978,16904,74,97.1,44.9
9/1/2004,45.9,152444,615858,15302,16978,16904,74,90.1,45.9
10/1/2004,53.1,160270,646687,15314,16982,16869,113,90.2,53.3
11/1/2004,48.5,162699,624161,16023,16982,16869,113,94.4,48.5
12/1/2004,43.3,170815,658099,16135,16982,16869,113,95,43.1
1/1/2005,46.9,168831,641524,15632,17125,17006,119,91.3,46.8
2/1/2005,48.1,154038,583252,15511,17125,16915,210,90.6,48.1
3/1/2005,54.6,173626,651274,15541,17125,17029,96,90.8,54.2
4/1/2005,53.2,166885,604101,15899,17129,17084,45,92.8,53
5/1/2005,49.9,173491,638792,16242,17234,17096,138,94.2,49.8
6/1/2005,56.4,163263,635951,16730,17234,17129,105,97.1,56.4
7/1/2005,59,162854,649104,16237,17238,17150,88,94.2,59
8/1/2005,65,161153,671648,15969,17230,17141,88,92.7,65
9/1/2005,65.6,126417,604247,14396,17230,16245,984,83.6,65.6
10/1/2005,62.3,141200,627838,14007,17225,15747,1478,81.3,62.3
11/1/2005,58.3,145708,618701,15378,17225,16316,909,89.3,58.3
12/1/2005,59.4,154630,666357,15395,17224,16308,916,89.4,59.4
1/1/2006,65.5,156480,633525,15085,17339,16421,918,87,65.5
2/1/2006,61.9,140894,576155,15000,17341,16711,630,86.5,61.6
3/1/2006,63,155842,638859,14914,17390,16666,724,85.8,62.7
4/1/2006,70.2,152450,606038,15303,17390,16597,793,88,69.4
5/1/2006,71,159667,634167,15862,17390,17012,378,91.2,70.8
6/1/2006,71,154884,629452,16171,17390,17132,258,93,71
7/1/2006,74.5,157919,642948,16091,17392,17150,242,92.5,74.4
8/1/2006,73.1,156232,664448,16206,17392,17150,242,93.2,73
9/1/2006,63.9,150926,616765,16177,17393,17126,267,93,63.8
10/1/2006,59.1,158353,643837,15293,17400,17135,265,87.9,58.9
11/1/2006,59.4,151926,620061,15311,17400,17075,325,88,59.1
12/1/2006,62.1,160768,644652,15766,17400,17155,245,90.6,62
1/1/2007,54.4,158342,637580,15381,17440,16995,446,88.2,54.5
2/1/2007,59.4,143301,596651,14773,17443,16978,466,84.7,59.3
3/1/2007,60.7,158697,636610,15185,17443,17023,420,87.1,60.4
4/1/2007,64,155407,616079,15371,17443,17136,307,88.1,64
5/1/2007,63.5,161548,639235,15651,17455,17190,266,89.7,63.5
6/1/2007,67.5,152254,621692,15444,17460,16976,485,88.5,67.5
7/1/2007,74.2,156175,643155,15922,17460,17122,339,91.2,74.1
8/1/2007,72.4,154060,651790,15859,17460,17202,259,90.8,72.4
9/1/2007,79.6,147061,612438,15513,17448,17041,407,88.9,79.9
10/1/2007,85.7,155680,634769,15249,17448,17221,227,87.4,85.8
11/1/2007,94.6,151021,616040,15506,17448,17217,232,88.9,94.8
12/1/2007,91.7,158427,642299,15477,17448,17115,333,88.7,91.7
1/1/2008,92.9,158566,627656,15087,17594,17226,368,85.8,93
2/1/2008,95.3,149297,580836,14948,17594,17265,328,85,95.4
3/1/2008,105.4,160868,614758,14637,17594,17222,372,83.2,105.5
4/1/2008,112.5,155403,594449,15157,17594,17093,501,86.2,112.6
5/1/2008,125.5,159437,613723,15629,17606,17461,146,88.8,125.4
6/1/2008,134,154133,590342,15768,17610,17464,146,89.5,133.9
7/1/2008,133.5,160481,606254,15638,17610,17464,146,88.8,133.4
8/1/2008,116.7,155092,597441,15343,17610,17464,146,87.1,116.7
9/1/2008,103.8,119208,535165,13139,17610,14959,2651,74.6,104.1
10/1/2008,76.7,146868,610647,15037,17621,17311,310,85.3,76.6
11/1/2008,57.4,152343,571573,15115,17621,17417,204,85.8,57.3
12/1/2008,42,158183,593409,14787,17621,17394,227,83.9,41.1
1/1/2009,41.9,159467,590234,14538,17672,17342,330,82.3,41.7
2/1/2009,39.3,146698,527011,14409,17672,16998,674,81.5,39.1
3/1/2009,48.1,161776,580286,14399,17672,17097,575,81.5,47.9
4/1/2009,49.9,158344,560172,14610,17672,16817,854,82.7,49.6
5/1/2009,59.2,166684,564542,14838,17672,17174,498,84,59
6/1/2009,69.7,158079,564829,15194,17672,17308,364,86,69.6
7/1/2009,64.3,167336,577412,14891,17681,17191,491,84.2,64.2
8/1/2009,71.1,167945,587432,14870,17681,17091,590,84.1,71
9/1/2009,69.5,166765,557833,15017,17681,17152,529,84.9,69.4
10/1/2009,75.8,171258,582888,14419,17688,17140,548,81.5,75.7
11/1/2009,78.1,161838,562590,14338,17688,17244,444,81.1,78
12/1/2009,74.6,169004,596333,14374,17688,16855,833,81.3,74.5
1/1/2010,78.4,167529,578132,14065,17597,16864,734,79.9,78.3
2/1/2010,76.5,155496,527273,14267,17584,16643,941,81.1,76.4
3/1/2010,81.3,170976,591487,14630,17584,16841,743,83.2,81.2
4/1/2010,84.6,161769,571989,15592,17589,17054,534,88.7,84.3
